AHS_Control_Number,Age,Area_Med_Income,FMR,Poverty_Income,BEDRMS,BUILT,Market_value,HH_QTY,HH_Income,Monthly_Hsg,Monthly_Utility,Total_Wage,FMTStructureType,FMTOwnRent,FMTAssisted
1.00003E+11,82,73738,956,11067,2,2006,40000,1,18021,533,169,0,1 Single Family,1 Owner,.
1.00006E+11,50,55846,1100,24218,4,1980,130000,4,122961,487,245.3333333,123000,1 Single Family,1 Owner,.
1.00006E+11,53,55846,1100,15470,4,1985,150000,2,27974,1405,159,28000,1 Single Family,1 Owner,.
1.00007E+11,67,55846,949,13964,3,1985,200000,2,32220,279,179,0,1 Single Family,1 Owner,.
1.00007E+11,26,60991,737,15492,2,1980,-6,2,96874,759,146,96900,5 50+ units,2 Renter,0 Not Assisted
1.00007E+11,56,62066,657,12005,1,1985,-6,1,14987,695,94.75,15000,4 20-49 units,2 Renter,1 Assisted
1.00008E+11,50,60991,988,18050,3,1985,260000,3,69962,1165,236,70001,1 Single Family,1 Owner,.
1.00009E+11,26,52322,773,15992,2,1980,-6,2,32000,976,81,20000,3 5-19 units,2 Renter,0 Not Assisted
1.00009E+11,60,50296,1125,15452,3,1985,170000,2,118987,1156,184.0833333,107000,1 Single Family,1 Owner,.
1.00009E+11,26,63221,552,12005,1,1985,-6,1,47987,1100,0,48000,4 20-49 units,2 Renter,0 Not Assisted
1.0001E+11,59,55846,949,15492,3,1985,230000,2,85987,1564,172,60000,1 Single Family,1 Owner,.
1.00013E+11,54,64362,1239,15452,5,2005,200000,2,196974,1493,467.5833333,197000,1 Single Family,1 Owner,.
1.00013E+11,25,64362,751,15492,2,2009,-6,2,60974,993,135,61000,3 5-19 units,2 Renter,0 Not Assisted
1.00013E+11,53,64182,1002,18126,3,2007,300000,3,92507,1229,152.1666667,30000,1 Single Family,1 Owner,.
1.00013E+11,52,64182,1114,24218,4,2009,380000,4,184574,2147,364,181000,1 Single Family,1 Owner,.
1.00014E+11,67,64362,1239,11057,5,1985,300000,1,66000,2191,469.8333333,40000,1 Single Family,1 Owner,.
1.00014E+11,22,55846,706,18595,2,2005,-6,3,41974,600,50.08333333,42000,3 5-19 units,2 Renter,0 Not Assisted
1.00014E+11,55,77566,1277,18050,3,1980,230000,3,94755,1370,332.8333333,89675,1 Single Family,1 Owner,.
1.00016E+11,57,63400,993,23828,3,1980,150000,4,91961,1308,245.6666667,73000,1 Single Family,1 Owner,.
1.0002E+11,84,69500,975,11067,2,1980,300000,1,28000,355,145.1666667,0,1 Single Family,1 Owner,.
1.00022E+11,55,59156,794,15439,2,2004,60000,2,25441,480,65,0,1 Single Family,1 Owner,.
1.00022E+11,74,56545,752,13984,2,2003,40000,2,44340,282,109,0,1 Single Family,1 Owner,.
1.00023E+11,67,59156,794,13936,2,1990,290000,2,122975,479,141.8333333,0,1 Single Family,1 Owner,.
1.00025E+11,70,59156,1102,13964,3,1990,230000,2,56343,573,282.5,0,1 Single Family,1 Owner,.
1.00027E+11,59,62258,973,15470,3,2005,260000,2,186107,880,288.25,150000,1 Single Family,1 Owner,.
1.00028E+11,62,61292,718,15470,2,1990,280000,2,62688,887,315,0,1 Single Family,1 Owner,.
1.00028E+11,32,56613,1349,30834,4,2004,110000,6,69327,1025,310.8333333,69353,1 Single Family,1 Owner,.
1.00028E+11,-9,56613,868,-6,2,1980,-6,-6,-6,-6,0,-9,4 20-49 units,2 Renter,.
1.00028E+11,54,60060,1528,15470,4,2007,330000,2,199974,2124,317,200000,1 Single Family,1 Owner,.
1.00028E+11,25,60060,1282,12055,3,2012,90000,1,99987,797,184.8333333,100000,1 Single Family,1 Owner,.
1.00028E+11,41,60060,1282,18639,3,1985,100000,3,77000,1275,308,71000,1 Single Family,1 Owner,.
1.00029E+11,50,55846,949,18097,3,1990,260000,3,86987,342,207,82423,1 Single Family,1 Owner,.
1.00029E+11,15,62066,792,15923,2,2004,150000,2,0,351,148.6666667,0,1 Single Family,1 Owner,.
1.00029E+11,54,61329,1032,15470,3,1980,300000,2,59987,496,163,35000,1 Single Family,1 Owner,.
1.00029E+11,24,66300,1158,15517,3,2007,-6,2,9974,1020,0,10000,5 50+ units,2 Renter,0 Not Assisted
1.0003E+11,28,66300,737,12036,1,1990,-6,1,30451,922,52,30464,5 50+ units,2 Renter,0 Not Assisted
1.0003E+11,24,66300,874,15470,2,2007,-6,2,51987,667,250.6666667,50000,4 20-49 units,2 Renter,0 Not Assisted
1.0003E+11,40,62066,1217,15452,5,2007,150000,2,24987,1259,301.8333333,25013,1 Single Family,1 Owner,.
1.0003E+11,26,62066,1058,15492,3,2009,180000,2,135387,505,96,135000,1 Single Family,1 Owner,.
1.0003E+11,50,66300,1158,15517,3,2008,570000,2,209801,3235,174,132000,1 Single Family,1 Owner,.
1.00032E+11,86,64362,576,11067,1,1980,-6,1,15048,372,0,0,5 50+ units,2 Renter,1 Assisted
1.00033E+11,60,64362,1209,18070,4,1990,160000,3,113974,881,241.1666667,69000,1 Single Family,1 Owner,.
1.00042E+11,39,56545,1058,12019,3,2006,210000,1,41922,1037,176.1666667,41912,1 Single Family,1 Owner,.
1.00044E+11,34,67676,1210,12005,2,1985,-6,1,39987,533,33,40000,1 Single Family,2 Renter,0 Not Assisted
1.00046E+11,64,91600,1574,18070,3,1990,650000,3,157961,639,234.8333333,158000,1 Single Family,1 Owner,.
1.00049E+11,52,73559,1251,23931,3,1990,200000,4,125961,1858,258,86000,1 Single Family,1 Owner,.
1.00049E+11,71,55926,1025,13948,3,1990,350000,2,32400,1533,666.75,0,1 Single Family,1 Owner,.
1.00052E+11,34,95481,1087,12019,1,1985,-6,1,35987,0,0,36000,1 Single Family,2 Renter,0 Not Assisted
1.00053E+11,72,73738,1336,13948,4,1985,200000,2,100000,1004,154,0,1 Single Family,1 Owner,.
1.00053E+11,34,63000,1474,28229,2,2007,850000,5,220761,5435,310,220800,1 Single Family,1 Owner,.
1.00056E+11,64,72900,750,15452,2,1980,70000,2,73974,911,193.9166667,74000,1 Single Family,1 Owner,.
1.00056E+11,53,72900,1044,12019,3,2004,80000,1,46987,822,110,47000,3 5-19 units,1 Owner,.
1.00056E+11,45,72900,1044,18050,3,2004,100000,3,104961,907,159,105000,3 5-19 units,1 Owner,.
1.00056E+11,33,72900,1044,18591,3,2004,-6,3,55040,1149,168.6666667,50000,3 5-19 units,2 Renter,0 Not Assisted
1.00056E+11,29,62258,729,15452,2,2006,-6,2,25874,1115,89,25900,1 Single Family,2 Renter,0 Not Assisted
1.00056E+11,59,62258,1082,18070,4,1980,200000,3,415017,2087,270,414943,1 Single Family,1 Owner,.
1.00056E+11,33,72900,1044,18591,3,2010,110000,3,28920,775,266.1666667,24000,1 Single Family,1 Owner,.
1.00058E+11,50,72700,1233,23801,4,2005,160000,4,96948,1156,214,97000,1 Single Family,1 Owner,.
1.00069E+11,52,58019,981,27539,5,1980,-6,5,15287,270,0,0,2 2-4 units,2 Renter,1 Assisted
1.00069E+11,32,58019,649,23401,2,1985,-6,4,4787,28,0,0,3 5-19 units,2 Renter,1 Assisted
1.00072E+11,65,69500,1430,13964,3,2002,80000,2,6632,2172,288.6666667,2500,6 Mobile Home,1 Owner,.
1.00072E+11,24,63226,1531,23428,4,2004,-6,4,39974,1424,224.1666667,40000,1 Single Family,2 Renter,0 Not Assisted
1.00074E+11,42,53100,1045,15905,3,2004,-6,2,600,227,185.5,0,1 Single Family,2 Renter,0 Not Assisted
1.00075E+11,52,53100,1045,15452,3,1990,500000,2,68487,3558,330,68000,1 Single Family,1 Owner,.
1.00075E+11,82,63429,726,11080,2,2003,110000,1,81901,298,102.5,65000,1 Single Family,1 Owner,.
1.00077E+11,51,74316,1302,18050,3,2004,170000,3,105174,1124,161.9166667,104000,1 Single Family,1 Owner,.
1.00077E+11,64,63226,702,12019,1,2007,-6,1,56000,824,72.33333333,7000,3 5-19 units,2 Renter,0 Not Assisted
1.00078E+11,23,71022,796,12005,2,1990,-6,1,50000,718,87,48000,2 2-4 units,2 Renter,0 Not Assisted
1.00092E+11,31,77566,1435,27610,4,2004,-6,5,70187,1751,368.9166667,70000,1 Single Family,2 Renter,0 Not Assisted
1.00092E+11,49,77566,1277,15470,3,2006,-6,2,34812,802,202,34838,1 Single Family,2 Renter,0 Not Assisted
1.00094E+11,60,64362,1077,15439,3,1980,150000,2,80002,429,191.0833333,0,1 Single Family,1 Owner,.
